Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
108.06457757949829	0	-172.9905599760871	-9.401306092104447	67.06321252587064	-18.47656986230285	-375.5164949416378	20.0	0.0	1020	10020	-180.33888997931876	-9.20883203509229
217.21097946166992	1	-168.6866048264316	-9.123630811765626	67.34776467744385	-38.24230746708021	-454.2252736508942	20.0	0.0	1020	20040	-154.26560392581214	-7.945195067616906
307.0332021713257	2	-166.7706411556252	-9.047002806998538	63.429627473886875	-45.86672739819123	-375.06359203450046	20.0	0.0	1020	30060	-159.37219704385453	-7.7296749213405445
390.4744815826416	3	-162.56091715185423	-8.634135247204103	61.67211637874186	-29.443277026817665	-376.68658791025445	20.0	0.0	1020	40080	-136.4470131268982	-7.477480315031578
478.5464696884155	4	-160.6477533534661	-8.484805368382103	65.500495007877	-30.70068541235626	-336.3843062673978	20.0	0.0	1020	50100	-189.2414218821948	-10.020572213718154
567.667308807373	5	-155.66508079135397	-7.972237595237132	61.339521413170765	-40.84074867140462	-355.7044823632538	20.0	0.0	1020	60120	-166.91628631680098	-8.410411834795426
652.5575735569	6	-152.54749014641456	-7.7560161370932805	64.70259641911969	-30.369579278548336	-376.23394409257855	20.0	0.0	1020	70140	-155.35955441963415	-8.185394161641836
744.8689844608307	7	-148.16423698452914	-7.30742274334886	66.25036050839222	-26.780716118924737	-369.364214364184	20.0	0.0	1020	80160	-163.32558604142844	-8.074370051990009
834.1137931346893	8	-150.92495748815256	-7.235299416794832	65.57768535155382	-24.58771445877093	-352.4716881369633	20.0	0.0	1020	90180	-158.15311485750857	-7.937787480804953
932.3728160858154	9	-150.8132912695253	-7.189622348194574	71.63486989860804	-22.991515291752098	-351.9614305402395	20.0	0.0	1020	100200	-150.12923288743346	-6.956406646184489
1022.7663266658783	10	-145.04776615114318	-6.90927566010557	65.27958018454594	-23.23536999020909	-360.0926236459714	20.0	0.0	1020	110220	-138.88524211365936	-6.3381076775239515
1114.5860707759857	11	-142.14971948491686	-6.442741628263428	58.361821432933475	-23.95306116486785	-327.4228406386467	20.0	0.0	1020	120240	-130.33080539818002	-6.12220275469737
1204.1230392456055	12	-142.3059957481192	-6.362696823934306	61.368640821702364	-33.89575232713148	-321.0206895224405	20.0	0.0	1020	130260	-134.36096809631627	-6.055167495108641
1288.620600938797	13	-141.50298282159773	-6.3004771783064495	60.78793682627324	-17.567238434285336	-333.1354339439666	20.0	0.0	1020	140280	-108.90284156760815	-5.258738148448607
1378.7154932022095	14	-133.88999285258544	-6.024385966297643	64.99535116570284	-20.046046568939826	-352.712815595395	20.0	0.0	1020	150300	-126.46281549110469	-6.069598856654625
1479.6888275146484	15	-129.6915425922653	-5.443346495786211	61.77930523951465	-26.577945629923626	-391.8467342321607	19.991044776119402	0.1636626884999737	1020	160320	-134.41228854065585	-5.164530686953701
1576.769742488861	16	-128.34201014269593	-5.404722135407234	64.75375587571214	-23.713482369112487	-371.8990672294022	20.0	0.0	1020	170340	-121.2925292059416	-5.2134215893905
1664.977140903473	17	-117.40186477678529	-5.017018222378078	62.98888533626062	-17.58648344215688	-368.8489977345685	20.0	0.0	1020	180360	-111.39719137382458	-4.407049539604282
1767.4921295642853	18	-124.96405125091566	-5.326593509082545	63.7429891002292	-15.457997652775262	-385.2327124258399	20.0	0.0	1020	190380	-100.77791637805515	-4.375037887883463
1871.3861677646637	19	-115.6844860266791	-4.663170780695636	55.86763288996833	-21.298120296911684	-331.19095047442573	20.0	0.0	1020	200400	-124.88968877098944	-4.83852269143847
1982.5109493732452	20	-120.41573982127844	-5.052918590675519	66.25948302013774	-19.65018425221868	-413.11609653198803	20.0	0.0	1020	210420	-118.23425324647451	-5.4757640055098245
2109.0883543491364	21	-127.08670873472016	-5.257862611583357	67.34451125183504	-26.821353585755887	-411.9488911989624	20.0	0.0	1020	220440	-119.13208193785101	-5.31715035882676
2206.7749350070953	22	-118.34208673348164	-4.68727959696213	55.55367305485733	-27.536047946888534	-308.7484407642084	20.0	0.0	1020	230460	-133.8645094340887	-5.38021114767823
2315.632652282715	23	-111.79345606141295	-4.49173452590537	52.80400115258967	-25.26337701390452	-333.36625249482154	20.0	0.0	1020	240480	-132.57364706200164	-5.466826583361879
2414.2540080547333	24	-107.1403766491756	-4.5477057051176235	53.44640047438941	-28.589893620529523	-435.20609065883104	20.0	0.0	1020	250500	-119.82374678185828	-4.637055106329151
2500.822542667389	25	-108.14074133298975	-4.4303592307228765	63.59036012651287	-24.7394767691642	-374.1488882124729	20.0	0.0	1020	260520	-121.49578148866361	-5.315315757961558
2588.5605969429016	26	-112.29754745784714	-4.522510791718254	59.72314091147191	-21.010258958395575	-369.2309137547459	20.0	0.0	1020	270540	-123.8695361243182	-4.70438091145416
2673.542583465576	27	-112.1489409023631	-4.565331724354607	65.9882884330849	-14.379727001940552	-482.559260183897	20.0	0.0	1020	280560	-92.0910579075082	-3.3666346654777652
2781.0709340572357	28	-111.77022620365076	-4.518236236271432	66.43797227229973	-15.521813506776596	-538.02788259012	20.0	0.0	1020	290580	-101.55862063249013	-4.330411185592759
2888.1911528110504	29	-109.51159540179043	-4.606789292559829	65.65086683430806	-15.121474017495311	-424.207535924668	20.0	0.0	1020	300600	-131.34687738231503	-5.437686099062192
2976.1396522521973	30	-113.79377170249509	-4.840372677629017	70.12962372067956	-20.29676032677134	-497.02738377808254	20.0	0.0	1020	310620	-98.6051725706745	-4.054378227874663
3075.6705918312073	31	-106.5733872989798	-4.255834810549374	59.173680569314755	-16.912007750000075	-392.1733731791019	20.0	0.0	1020	320640	-106.65315284019567	-4.684234618650753
3173.6538314819336	32	-106.70584247104486	-4.313370708325347	62.48299573178557	-25.15795925657415	-440.7071637834789	20.0	0.0	1020	330660	-102.69833476209584	-4.353692258508594
3264.179560661316	33	-107.45607994993063	-4.399768877967849	67.79502309710327	-26.760580732382856	-541.4481550548876	20.0	0.0	1020	340680	-101.25561791010782	-3.342430745860095
3360.1719427108765	34	-109.89131083710127	-4.7227685426868655	83.52493418650683	-20.44240427918975	-607.9024123188755	20.0	0.0	1020	350700	-95.98036321853772	-3.4226515385040357
3459.169946908951	35	-110.88412638509668	-4.6381559339595135	69.94011746931217	-24.177544324061653	-413.0948082263979	20.0	0.0	1020	360720	-114.42050710372803	-4.276763771660918
3573.8770933151245	36	-114.6133039034814	-4.601631127584211	74.99957922288469	-25.023916548634865	-530.0189603379231	20.0	0.0	1020	370740	-91.48617833454664	-3.567328433027298
3669.980983734131	37	-104.30964905689149	-4.351708513105736	68.55943444007065	-21.603085201436496	-523.3632272419889	20.0	0.0	1020	380760	-82.04346205013617	-3.410321452825315
3786.307778596878	38	-105.62129160817551	-4.128814242310506	67.7351810604858	-20.28538558445142	-525.2008260240427	20.0	0.0	1020	390780	-109.1874495187116	-4.209029380646711
3917.498182296753	39	-106.01190859197251	-4.203730574178652	67.52081437157128	-17.4734069275707	-560.0725755575961	19.976119402985073	0.43643383599993	1020	400800	-87.4405708555566	-3.4846259237769988
4081.0612218379974	40	-99.60215868884507	-3.9995964807517965	64.48198419600438	-19.63283897744153	-419.36966224254326	20.0	0.0	1020	410820	-102.32794718427272	-4.457488410116705
4215.286327123642	41	-105.26366880496936	-4.22768019493568	66.52628808759394	-19.98083042983589	-434.0827928616245	20.0	0.0	1020	420840	-115.28673812229125	-5.31204086524996
4342.417383670807	42	-99.59072598009729	-4.051216496123508	61.80918755528553	-13.723493506980406	-508.8069216222475	20.0	0.0	1020	430860	-90.6170078276198	-4.015097064832368
4455.66165137291	43	-92.41630900338947	-3.805903410733236	57.03174292669774	-15.885596383499893	-443.255362930711	20.0	0.0	1020	440880	-83.99677945557423	-3.3415030232772605
4583.773176193237	44	-101.7514777490391	-4.346152552180427	66.00422618858403	-16.345809658508415	-441.60614657534126	20.0	0.0	1020	450900	-108.57571081053709	-4.818329017881819
4698.328937530518	45	-106.97649490366096	-4.603994706435811	71.88429865499525	-20.990162278660335	-554.8432206526832	20.0	0.0	1020	460920	-82.1186046658624	-3.2782369341698816
4815.889665842056	46	-106.25427652065584	-4.393415099688319	76.29033535313722	-18.419285027116516	-537.2384501299832	20.0	0.0	1020	470940	-95.02004278237523	-4.222133414933774
4935.258561134338	47	-98.59205922316929	-3.9663107582903914	66.74203534248237	-19.777246406856072	-451.92948677772586	20.0	0.0	1020	480960	-84.71737184720868	-3.819541531680059
5043.961967945099	48	-96.56577873129612	-3.799437395253086	65.64959212147036	-20.382092647459636	-612.2663910530724	20.0	0.0	1020	490980	-96.89043649834129	-3.0852430564228976
5167.500716924667	49	-92.25123145140631	-3.8236316309112524	58.11999979388947	-19.169637214065915	-468.34275430925163	20.0	0.0	1020	501000	-87.63021190700982	-3.7081929137898264
5278.758295536041	50	-94.60136780755616	-3.685406954176384	62.88842029427126	-18.937263100068517	-591.893334898758	20.0	0.0	1020	511020	-93.06499332970803	-3.5774078443243242
5393.207343578339	51	-91.61521914920738	-3.627946009328388	58.286519754252005	-15.671115728480263	-398.1591708598737	19.976119402985073	0.43643383599992996	1020	521040	-70.85692704738841	-3.1319226038678747
