Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
23.562140226364136	0	-169.89630622097218	-9.396165564282976	63.18745513877491	-29.806369906487006	-369.27263455280575	20.0	0.0	1008	10017	-178.50964405475293	-9.596216251724805
42.19122815132141	1	-170.6018024597087	-9.285274514929744	62.89970485168347	-31.05791272322235	-351.09870652816335	20.0	0.0	1008	20034	-165.3795053945705	-8.694289026777563
56.95010304450989	2	-158.783585930184	-8.511366268307286	61.79543449361694	-32.40541632551255	-353.42887703211676	20.0	0.0	1008	30051	-152.4124493114127	-8.146283828315708
72.10120058059692	3	-162.43248199042205	-8.40379373738461	68.61623428596903	-27.968242479610666	-351.26446168496193	20.0	0.0	1008	40068	-163.24206174750972	-8.160039977293065
87.28104090690613	4	-168.9148734079132	-8.780862953714	65.71202372210612	-22.955815624832987	-404.59822640083115	20.0	0.0	1008	50085	-144.08800125178564	-7.0312202194018765
111.98776769638062	5	-164.50850843799003	-8.414324500411702	67.09580097959946	-27.23582887806606	-377.5734211001758	20.0	0.0	1008	60102	-154.8958531528973	-7.352752607835114
131.76186227798462	6	-155.7062190600025	-8.014792997900106	66.43833603480067	-27.633519128355367	-335.0351391954708	20.0	0.0	1008	70119	-153.95932306030332	-7.842698996297639
149.77574157714844	7	-159.07325868324315	-7.941745929485486	64.65311630695263	-20.936486045626154	-380.39058325934	20.0	0.0	1008	80136	-149.52570459575747	-7.374343374102726
169.11621260643005	8	-152.9018429578609	-7.6446229213944985	66.32665757398112	-26.195767394214684	-335.7151434941092	20.0	0.0	1008	90153	-159.93591285546128	-8.117759425571363
188.2662844657898	9	-158.0311933036415	-7.864604529227592	67.85474175522283	-24.417816730518428	-364.0135840162729	20.0	0.0	1008	100170	-151.20134970845513	-7.6082378669611765
206.64746713638306	10	-157.25286215134548	-7.660688381921874	61.78813571191779	-20.698381719905043	-354.2133614958198	20.0	0.0	1008	110187	-155.0888184209511	-7.295277327477822
223.4252073764801	11	-150.1589022735765	-7.1773609411605985	65.30868430261461	-19.56374631391208	-424.8308593784401	20.0	0.0	1008	120204	-137.45122390342507	-6.537787181198198
242.45969533920288	12	-149.36332166935009	-7.1236702154925515	65.80411488936774	-25.885578842032075	-352.3449872153683	20.0	0.0	1008	130221	-144.97097490214745	-6.913029197883191
258.84017395973206	13	-145.24644736571253	-6.682523509442195	65.66486444600216	-26.901292111689273	-414.6264169913057	20.0	0.0	1008	140238	-142.80345297188111	-6.618689418645793
275.1741669178009	14	-146.44077750054413	-6.688200921966353	66.27855106490398	-27.190554949065607	-369.10744461147004	20.0	0.0	1008	150255	-156.76203746884764	-7.536264736387911
292.2240197658539	15	-145.87247410487325	-6.694878098591826	65.51923326485193	-21.69310899311295	-405.30901028307585	20.0	0.0	1008	160272	-142.23573290350808	-5.955176940506708
308.28187561035156	16	-144.4706266953171	-6.593656108459112	66.20829615078817	-24.361557134648137	-352.15791278545686	20.0	0.0	1008	170289	-139.76032479013472	-5.938979310832415
326.9947175979614	17	-139.60715399169501	-6.1653520695882	64.66933685870144	-26.69933506530923	-349.7951868949666	20.0	0.0	1008	180306	-127.85120563810908	-5.7647467508553945
342.9319837093353	18	-138.17135565943278	-6.002042547847286	67.65484275023404	-21.402981417902755	-428.1527064944566	20.0	0.0	1008	190323	-125.56412140480711	-5.533315247103455
359.91813945770264	19	-134.96256310219354	-5.9305561146693275	63.15984913890921	-30.33354596675928	-454.6206127057104	20.0	0.0	1008	200340	-148.97345328239942	-6.709624869726899
374.63310170173645	20	-134.0267133423846	-5.6409682982554035	67.53129722389	-22.104247537507298	-427.6036085898603	20.0	0.0	1008	210357	-127.09280686104246	-5.347657872273671
389.71312856674194	21	-128.80940516307936	-5.311979168330462	64.48371764285528	-18.043069495450077	-581.3463256433184	20.0	0.0	1008	220374	-122.08569680228665	-5.036313180223402
408.47623348236084	22	-128.84962897989257	-5.266198390007963	58.60490132256825	-28.03063650261867	-452.1222903256212	20.0	0.0	1008	230391	-113.22512664166378	-4.180347515471645
423.6445996761322	23	-124.38123909238313	-4.908308253107514	58.641342767908725	-25.685601048197253	-372.6247933926257	20.0	0.0	1008	240408	-135.9140349801712	-4.9229152627162325
445.87937688827515	24	-121.98064052055952	-4.8328745403296045	58.53658346019413	-26.007537378516027	-367.35741793984846	20.0	0.0	1008	250425	-132.53342411591274	-5.5434584560011
465.03917837142944	25	-128.1260421936186	-5.135877585696408	62.96771460046688	-21.838618159181127	-471.9062375676354	20.0	0.0	1008	260442	-126.13633037598602	-4.800224751002511
482.98820638656616	26	-124.20770294892549	-4.673821621147796	58.6256600627391	-21.691626206903596	-340.4059894333764	20.0	0.0	1008	270459	-118.10847607720116	-4.849122859364423
500.16210675239563	27	-123.75594650843767	-4.818390557502606	62.429959486244776	-21.664042365796934	-415.0321743613832	20.0	0.0	1008	280476	-121.94003155889688	-5.0826972923599065
517.3508813381195	28	-119.99881488137513	-4.478206866267756	60.399303518927645	-23.562168154066054	-380.85272384711277	20.0	0.0	1008	290493	-121.26523382148928	-4.698317247992661
534.4249408245087	29	-117.71482018536365	-4.580850130345864	57.82216825138564	-17.35523731353207	-403.28355800844173	20.0	0.0	1008	300510	-120.5639338465292	-4.923701076828142
551.1447792053223	30	-114.9727389729336	-4.233270224957234	53.61424936536845	-25.27210638274947	-352.80570377311153	20.0	0.0	1008	310527	-118.85968036680065	-4.781583664209289
567.3798954486847	31	-119.92974340866449	-4.695884370890375	64.87636460479841	-20.505061555499932	-454.1271186890094	20.0	0.0	1008	320544	-106.7890954143882	-4.4812901343990355
583.3811361789703	32	-118.29292737586013	-4.484997849824266	62.73160919763883	-20.246868846457588	-362.4079886629496	20.0	0.0	1008	330561	-118.45356137778386	-4.835266885431462
599.0598368644714	33	-115.70743648457504	-4.432740605586424	58.58221304201945	-22.129975934046023	-400.5100652219671	20.0	0.0	1008	340578	-114.7204529265709	-4.222059812287484
615.0216434001923	34	-111.16517661874656	-4.263710529631841	57.23142610613343	-18.15111642044247	-368.4118534736686	20.0	0.0	1008	350595	-127.37824931214539	-5.1391078100042025
631.4563064575195	35	-115.01837102569446	-4.279243862475917	62.450187625222824	-28.056226697304844	-540.2424610119892	20.0	0.0	1008	360612	-119.7627208586055	-4.50564402577582
647.9008274078369	36	-113.42537073614311	-4.323761258463936	61.266984936318536	-15.742335656505446	-427.60620303001366	20.0	0.0	1008	370629	-128.78690300320955	-4.507550194789828
662.5922920703888	37	-108.43245850565566	-4.036025171035195	56.70285487692365	-17.229228239327053	-348.0289465290321	20.0	0.0	1008	380646	-106.08559858674694	-4.294558588783353
678.0003499984741	38	-112.09850060588418	-4.287904140652263	61.07041503613979	-12.78575943409836	-452.4100679102211	20.0	0.0	1008	390663	-115.78306242004565	-3.8249482056801702
693.4640409946442	39	-103.28950529779887	-3.8464932012028354	54.10036631787391	-20.083784090309216	-365.46006951992365	20.0	0.0	1008	400680	-103.986880587106	-3.498187796715799
708.6364285945892	40	-108.8935992449312	-4.3260875931832965	63.96643170716762	-20.539207031002768	-581.7616955241177	20.0	0.0	1008	410697	-102.69223774660236	-3.7388022711139968
724.5699768066406	41	-110.34905187558643	-4.199881168185738	62.67181222817661	-21.45379017719561	-433.2244776574473	20.0	0.0	1008	420714	-116.74734861617848	-4.2345393097270305
739.5856003761292	42	-107.02505899914435	-4.019043178771718	58.62983339208892	-17.93102657051383	-397.9593024935477	20.0	0.0	1008	430731	-113.71523401799179	-4.800250020348771
