Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
7.017248868942261	0	-165.71434223149993	-8.881633452861873	61.48862416984467	-36.44960617899142	-364.56606660704995	20.0	0.0	1008	10017	-167.68614781094882	-8.902041729209207
13.976059675216675	1	-171.10668313190317	-9.197099777507505	69.79301390279092	-33.82378777801789	-393.74593452164635	20.0	0.0	1008	20034	-169.1753068916651	-9.188689890439838
19.968000650405884	2	-162.62160228544843	-8.93545064869478	61.85365362929527	-25.86624550076828	-367.25942411502353	20.0	0.0	1008	30051	-162.29345235111734	-8.11473782527683
26.32668113708496	3	-166.8671738844023	-8.997964937613677	65.9105348838503	-33.70917022646909	-359.53561934838734	20.0	0.0	1008	40068	-173.08009613746174	-8.78591275376413
33.13546967506409	4	-171.5994043667702	-9.066127713870015	65.5974767041435	-28.47873437743263	-337.6577606354778	20.0	0.0	1008	50085	-149.28868547696393	-7.577259115124273
39.48346185684204	5	-167.6466119033497	-8.892049717984307	63.314452388584506	-31.72954431096362	-375.27579786671095	20.0	0.0	1008	60102	-167.09386838320538	-8.677968424104494
45.70014715194702	6	-156.15517477555153	-8.09785428094761	65.22810917540595	-28.91004392788702	-363.0010180589784	20.0	0.0	1008	70119	-153.0572057766058	-7.735442738511927
51.716777086257935	7	-160.32079722195323	-8.283078494192786	65.41674602924695	-30.16183182911719	-361.50718207123316	20.0	0.0	1008	80136	-161.50784635242675	-8.450274005586977
57.753647327423096	8	-153.55703821918493	-7.780536381782553	61.90189499570609	-31.694657355232454	-317.9860190759464	20.0	0.0	1008	90153	-163.25935822947852	-8.50655205559715
64.84988236427307	9	-162.68094609730227	-8.262845415603731	65.73480325796893	-26.612558015679888	-363.8046143271283	20.0	0.0	1008	100170	-141.46323197278613	-7.153775617094415
70.98930716514587	10	-162.70642146631218	-8.197896090783471	61.39900136504333	-29.938306936434962	-348.16908116004544	20.0	0.0	1008	110187	-173.94522051047238	-8.782536110776885
77.05299758911133	11	-157.1986219161074	-7.926547303353747	63.50323592800461	-27.118998027226613	-340.902935369632	20.0	0.0	1008	120204	-152.04148023724278	-7.863349476219921
83.25177025794983	12	-158.60667426209986	-7.962234277608476	62.48186639376711	-19.997124300121875	-350.1580266207941	20.0	0.0	1008	130221	-152.9685837723392	-7.806138925270358
89.56198191642761	13	-152.92425201879806	-7.79138493798503	63.26027193115974	-22.865405822745398	-317.5894983196859	20.0	0.0	1008	140238	-168.0709425905009	-8.92221809908023
95.91318774223328	14	-155.60887662089604	-7.815402391056041	64.34978550314334	-25.69336905023781	-301.849394079528	20.0	0.0	1008	150255	-154.44105404505265	-7.232441439696512
101.97714042663574	15	-156.90429470881767	-8.02270640858019	61.8316841176464	-24.317288518487594	-435.9099557604576	20.0	0.0	1008	160272	-161.29209458042376	-7.756888083011854
108.55963134765625	16	-158.9015155563478	-7.91816084458406	62.75123635080489	-25.32226462453346	-361.38800289671946	20.0	0.0	1008	170289	-164.29748471271694	-8.21508223321787
114.71358704566956	17	-154.72001592008235	-7.845597365145646	66.97379927730401	-22.46006530419403	-347.99197762206813	20.0	0.0	1008	180306	-164.74415558485256	-8.077541982074392
120.60210466384888	18	-158.97696544654627	-8.015444112419281	64.51196306913025	-24.402363051980444	-337.80611040825835	20.0	0.0	1008	190323	-163.1036939996071	-8.038771455393013
126.86533951759338	19	-155.90525019452133	-7.946345078498119	65.08682447229754	-21.32417708163627	-372.7479502266664	20.0	0.0	1008	200340	-160.412794309669	-8.884322596737844
133.51314496994019	20	-154.43994271124447	-7.725926879759567	67.02649812658831	-19.06894769495543	-390.4245604811635	20.0	0.0	1008	210357	-154.07074200184448	-8.040948863805953
139.0310583114624	21	-155.46730118920178	-7.903272690111762	64.43035170100643	-21.11405480550906	-386.8980091519071	20.0	0.0	1008	220374	-162.16269418682893	-7.9498913835496055
144.5580244064331	22	-159.50117082291803	-8.045095520664614	64.33105236296555	-27.400578490287955	-368.63793493620943	20.0	0.0	1008	230391	-152.86882717642717	-7.020050103636991
149.97928094863892	23	-155.44321676312148	-7.805194528554223	63.46753548261111	-25.917793349660393	-360.0859927070749	20.0	0.0	1008	240408	-170.0723935231761	-8.527420637906168
155.3240303993225	24	-156.85100700398047	-7.723195382458883	63.38219957259141	-24.053062446006976	-404.9690880672731	20.0	0.0	1008	250425	-157.2477046532789	-7.833832018482375
160.62088060379028	25	-157.47506952270246	-7.953970608404574	62.904887219243115	-16.054678290456337	-352.2722847335605	20.0	0.0	1008	260442	-167.07496213198235	-8.529242100041184
166.08034229278564	26	-159.1987390466254	-7.891033845781356	66.98699158635216	-16.364830795699937	-404.2794144039297	20.0	0.0	1008	270459	-153.3635011121254	-7.911285217454861
171.42142248153687	27	-160.81116657845095	-8.09058953638339	66.61762974737233	-27.317326665137674	-377.84359707734956	20.0	0.0	1008	280476	-156.18619217072043	-7.448609301604925
176.77710461616516	28	-160.62565612785164	-7.8612075466617926	65.45129568859207	-18.019950369285503	-437.7808738668972	20.0	0.0	1008	290493	-157.18011534122869	-7.201286922785211
182.222163438797	29	-156.6983093006113	-7.832792374882745	64.93658847796007	-23.945238050538343	-410.45379630885566	20.0	0.0	1008	300510	-153.6842378109617	-7.494719814749852
187.49606490135193	30	-152.22140364099238	-7.47108203011257	61.42008030573535	-16.20984463903057	-350.73349638569454	20.0	0.0	1008	310527	-153.12290370207526	-7.861475797654833
192.87668132781982	31	-156.02645609890578	-7.691395663958407	65.8365449061302	-19.680213730620526	-377.6360485922918	20.0	0.0	1008	320544	-139.38290066539992	-6.828795478286938
198.21183943748474	32	-156.01677458145562	-7.6445073438456745	65.61165277921073	-25.76256356151903	-368.3411129019304	20.0	0.0	1008	330561	-154.27215945531177	-7.699264462560328
203.51186060905457	33	-155.84178952123125	-7.625557799161116	67.31599890847276	-22.664798106393793	-426.33012589436515	20.0	0.0	1008	340578	-159.64979227050807	-7.954124132906968
208.89995098114014	34	-152.58828847562538	-7.616418096015463	66.48984736980962	-17.2146744965506	-459.86218534467866	20.0	0.0	1008	350595	-155.2835701945536	-7.847946302962396
214.1724591255188	35	-154.48768330803722	-7.638689320022723	68.48323879084874	-23.20676000083648	-373.9150753717931	20.0	0.0	1008	360612	-160.9420450766811	-7.557881234376443
219.4955334663391	36	-154.71361805158915	-7.643989039269291	64.47220823750733	-22.422993612774846	-425.79024100570405	20.0	0.0	1008	370629	-169.30833636837795	-8.336465896678341
224.79196619987488	37	-149.9062881747774	-7.29573086208384	70.11692423613341	-19.94937813301685	-446.4231728164913	20.0	0.0	1008	380646	-151.4023466849527	-7.578670551256013
230.08854174613953	38	-154.76989656793938	-7.574760441509854	71.2289022844478	-21.644174809808927	-408.6025151950478	20.0	0.0	1008	390663	-149.3245683031899	-7.270930121836211
235.71930241584778	39	-144.495696004913	-6.875544612169231	67.51518030367873	-13.684969284309723	-382.05119376288434	20.0	0.0	1008	400680	-146.85230838974732	-7.59379202381319
241.02147722244263	40	-148.2350306792338	-7.176802575776322	68.98193498516801	-15.170246535735078	-413.3729618649696	20.0	0.0	1008	410697	-154.63062557422657	-7.976977158542411
246.3184769153595	41	-153.68634142427808	-7.388389032266801	65.48271338558536	-20.22437934125871	-391.6898205305376	20.0	0.0	1008	420714	-148.50622070154148	-7.562355675361959
251.6390221118927	42	-152.5824840187003	-7.2999799698229815	69.9360859432259	-18.78023824760061	-446.80469664287347	20.0	0.0	1008	430731	-162.72684804597355	-7.4433804493384566
256.9398522377014	43	-153.7584013331461	-7.183608297360844	69.92898920505334	-16.257475190425275	-401.9070609872798	20.0	0.0	1008	440748	-150.13365013056367	-7.054517934377895
262.2496576309204	44	-153.0486474543138	-7.244728742770697	69.21573707902343	-14.270203449746003	-417.9716117546778	20.0	0.0	1008	450765	-135.32190845922912	-6.803564063014438
267.6643285751343	45	-151.561419566421	-7.0671024821955575	74.84933941666378	-20.306501867091725	-518.2737678068287	20.0	0.0	1008	460782	-150.20320269336642	-6.389908927210871
273.0312190055847	46	-151.7379716659995	-6.8963129930323905	72.04965088164427	-16.357308594951746	-433.3204438483972	20.0	0.0	1008	470799	-128.77000543780707	-5.77568760394345
278.48329186439514	47	-152.9151469812396	-7.154853382550055	71.10786198334418	-22.282889866332987	-417.25751712401905	20.0	0.0	1008	480816	-162.45505770104833	-7.776837014052867
283.95067596435547	48	-150.0951786031895	-7.013235942757855	70.79384808226334	-22.416805079444053	-449.7045296089403	20.0	0.0	1008	490833	-151.74562294817778	-6.835555730686944
289.2445912361145	49	-152.04399765088917	-7.059386352525738	78.83847020743555	-18.249618240942787	-421.148974815682	20.0	0.0	1008	500850	-140.01278904009402	-6.934647983619745
294.74981594085693	50	-151.1901519828235	-7.05086617982806	78.2519632630003	-18.190388623481333	-482.0358549807693	20.0	0.0	1008	510867	-153.42712533254112	-7.102004618187361
300.14509987831116	51	-153.36827448685577	-7.005678104904228	82.51802127473286	-24.378760134853167	-498.6285640507181	20.0	0.0	1008	520884	-165.84599377550524	-8.108562045873185
305.34269404411316	52	-159.40763615799779	-7.490339457111782	92.60125853277071	-20.585849481363525	-745.6194903719065	20.0	0.0	1008	530901	-152.38008851331128	-7.3127373223022305
310.7671582698822	53	-152.89588322068187	-6.845359892197212	81.78420968323513	-20.299084913995294	-661.1476759260912	20.0	0.0	1008	540918	-149.90281284749062	-7.736733609986376
315.9772403240204	54	-153.0581020423213	-7.078903617804548	78.25863221683052	-21.861480659335403	-509.42978871441846	20.0	0.0	1008	550935	-157.89663159405453	-6.813599735377747
