Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
10.228360891342163	0	-165.7611544145615	-9.026794251307255	65.25232189333268	-22.65299103034067	-339.13644252946204	20.0	0.0	1008	10017	-165.9492777888211	-8.801102309252471
19.23798441886902	1	-170.96988336254407	-9.310824569710292	67.24697624510165	-37.02077724640263	-407.1412158137547	20.0	0.0	1008	20034	-168.74350738122703	-9.024358853400244
26.324042320251465	2	-162.0350236644339	-8.82706208136486	67.94187065398309	-29.56905771728576	-390.82803119803293	20.0	0.0	1008	30051	-149.1861110616829	-8.028858888114828
34.39908170700073	3	-163.9258592390714	-8.559402711861411	64.3050702395878	-31.24032581065451	-363.044229301906	20.0	0.0	1008	40068	-154.72603363740453	-7.967745710655123
42.619258403778076	4	-166.55574559700185	-8.633560230998357	61.81321504703053	-32.28468555357383	-387.01530627167807	20.0	0.0	1008	50085	-154.4756600029588	-7.95036694583161
49.729809522628784	5	-166.24583630033237	-8.62619116437147	63.55726165561567	-26.782087720584954	-326.6550400333058	20.0	0.0	1008	60102	-165.29711789659146	-8.686173675832855
56.4586181640625	6	-154.71495627780251	-8.033979166669011	62.22166666453217	-27.16856614783684	-345.41693598567923	20.0	0.0	1008	70119	-148.74044422530343	-7.29390867783172
64.01536631584167	7	-160.72609956517894	-8.259000440276816	62.508799084347125	-31.850128258135058	-329.80332360298803	20.0	0.0	1008	80136	-165.3287636025506	-8.928491285084759
70.92328357696533	8	-150.96742370660584	-7.7255357328533965	59.822458417313165	-25.313213532200137	-318.16109700323995	20.0	0.0	1008	90153	-159.3495186724703	-8.105836174532064
77.62080550193787	9	-161.1208505457618	-8.344098677026174	63.2976407565903	-22.650463339779375	-344.5664171634587	20.0	0.0	1008	100170	-149.71290885967616	-7.631059114072492
84.52981948852539	10	-163.75698417047226	-8.426707851068839	61.275344500107224	-23.17517711251977	-334.5875616710909	20.0	0.0	1008	110187	-164.06386288376623	-8.192993059016393
